   0            10             0              0
   1            30             0              0
   2            50             0              0
   3            70             0              0
   4            90             0              0
   5           110             0              0
   6           130        0.2077         0.1469
   7           150        0.5193         0.2322
   8           170         1.662         0.4154
   9           190         4.258          0.665
  10           210         9.035         0.9687
  11           230         15.99          1.289
  12           250         23.47          1.561
  13           270         31.36          1.805
  14           290         38.74          2.006
  15           310         42.27          2.095
  16           330         47.05           2.21
  17           350         38.43          1.998
  18           370         31.99          1.823
  19           390         25.86          1.639
  20           410         23.16          1.551
  21           430         17.55           1.35
  22           450         11.32          1.084
  23           470         9.659          1.002
  24           490         7.581         0.8873
  25           510         4.777         0.7044
  26           530         3.427         0.5966
  27           550          4.05         0.6486
  28           570         2.908         0.5496
  29           590         1.662         0.4154
  30           610         1.039         0.3284
  31           630         1.142         0.3445
  32           650         1.766         0.4282
  33           670        0.6231         0.2544
  34           690         0.727         0.2748
  35           710        0.3116         0.1799
  36           730        0.6231         0.2544
  37           750        0.2077         0.1469
  38           770        0.2077         0.1469
  39           790        0.2077         0.1469
  40           810        0.1039         0.1039
  41           830             0              0
  42           850             0              0
  43           870             0              0
  44           890        0.1039         0.1039
  45           910             0              0
  46           930             0              0
  47           950             0              0
  48           970             0              0
  49           990             0              0
