#   X   	   Y   
#---------	---------
0.000000	0.000000
-0.002000	0.500000
-0.001400	0.965010
0.001495	1.397466
0.006408	1.799636
0.013085	2.173630
0.021299	2.521410
-0.593537	0.124264
-0.565238	0.618533
-0.535884	1.078062
-0.324368	-0.022619
-0.310263	0.480586
-0.294347	0.948497
-0.276887	1.383574
-0.258125	1.788108
0.450947	0.150224
0.427150	0.637454
0.406980	1.090696
0.390085	1.512313
0.376142	1.904500
0.364857	2.269305
0.355961	2.608629
0.349206	2.924245
-0.662627	0.192843
-0.630531	0.682657
-0.597591	1.138024
-0.564022	1.561350
-0.530014	1.954876
-0.495739	2.320684
-0.461348	2.660715
-0.638290	0.052613
-0.608113	0.552121
-0.576946	1.016513
-0.545017	1.448242
-0.512524	1.849590
-0.479650	2.222682
-0.446554	2.569492
-0.413379	2.891861
-0.380251	3.191497
-0.347281	3.469994
-0.314567	3.728830
-0.282194	3.969385
-0.250238	4.192939
-0.218761	4.400685
-0.187820	4.593731
-0.157460	4.773108
-0.127722	4.939778
-0.098637	5.094632
-0.070232	5.238501
0.000000	0.909625
0.002548	1.345952
0.352088	0.174246
-0.112526	0.083304
-0.108483	0.578035
-0.209404	0.025764
0.096529	0.087526
0.090140	0.580916
0.086538	1.039802
0.085410	1.466583
0.086472	1.863495
0.452240	0.208375
0.428670	0.691528
0.408694	1.140978
0.391964	1.559066
0.378161	1.947971
0.366993	2.309722
0.530265	0.271108
-0.125662	0.115687
-0.117536	0.004521
-0.113636	0.504793
-0.107430	0.970025
-0.099209	1.402661
-0.089235	1.804971
-0.077748	2.179069
-0.064966	2.526923
-0.051083	2.850363
-0.036277	3.151093
-0.020707	3.430698
0.769968	0.253915
0.730739	0.732291
0.695864	1.177377
0.664957	1.591481
0.637667	1.976753
0.613667	2.335192
0.592660	2.668660
0.574370	2.978890
0.558546	3.267496
0.544956	3.535979
0.533388	3.785735
0.523648	4.018067
0.515556	4.234184
0.508949	4.435213
0.503677	4.622204
0.499604	4.796131
0.496605	4.957904
0.494564	5.108368
0.493378	5.248309
0.492950	5.378461
0.493195	5.499504
0.494033	5.612072
1.185653	0.423528
1.126488	0.887953
1.072603	1.320164
1.023574	1.722389
-0.398653	0.252667
-0.379457	0.736974
-0.358799	1.187283
-0.336923	1.605967
-0.314047	1.995234
-0.290368	2.357138
0.566042	0.167827
0.536579	0.653249
0.511017	1.104838
0.488990	1.524944
0.470165	1.915753
0.454236	2.279300
0.440920	2.617478
0.429962	2.932050
0.652211	0.306076
0.619131	0.781390
0.590082	1.223597
0.564696	1.634994
0.542636	2.017721
0.523593	2.373768
0.507282	2.704986
0.493443	3.013101
0.665882	0.319475
0.632186	0.793782
0.602545	1.235057
0.576593	1.645590
0.553992	2.027516
0.534430	2.382820
0.517622	2.713350
-0.614553	0.211354
-0.584769	0.699632
-0.554032	1.153581
-0.522563	1.575601
-0.490557	1.967921
-0.458189	2.332620
-0.425617	2.671627
0.634350	0.158766
0.601426	0.644481
0.572578	1.096360
0.547430	1.516752
0.525643	1.907842
0.000000	0.076961
-0.001615	0.571573
-0.000677	1.031571
0.002515	1.459365
0.007686	1.857197
0.014588	2.227154
0.022994	2.571181
0.596316	0.226526
0.565633	0.707688
0.538890	1.155322
0.515722	1.571755
0.495795	1.959153
0.478801	2.319533
0.464458	2.654772
0.452509	2.966616
0.442717	3.256690
0.434865	3.526508
0.428754	3.777478
0.424204	4.010911
0.421048	4.228026
0.419136	4.429959
0.418329	4.617766
0.418501	4.792431
0.419538	4.954868
0.421336	5.105930
0.423798	5.246408
0.426841	5.377041
-1.150469	0.303376
-1.093428	0.787892
-1.036818	1.238207
