# This histogram has 1000 entries
# Total under/overflows = 0/0
# mean =        51.45    std_dev =        28.56
# bin            X             Y             EY
   0             1            20          4.472
   1             3            14          3.742
   2             5            24          4.899
   3             7            14          3.742
   4             9            23          4.796
   5            11            19          4.359
   6            13            17          4.123
   7            15            10          3.162
   8            17            10          3.162
   9            19            25              5
  10            21            17          4.123
  11            23            30          5.477
  12            25            17          4.123
  13            27            10          3.162
  14            29            21          4.583
  15            31            13          3.606
  16            33            39          6.245
  17            35             8          2.828
  18            37            26          5.099
  19            39            22           4.69
  20            41            18          4.243
  21            43            21          4.583
  22            45            17          4.123
  23            47            28          5.292
  24            49            21          4.583
  25            51            17          4.123
  26            53            22           4.69
  27            55            15          3.873
  28            57            28          5.292
  29            59            13          3.606
  30            61            29          5.385
  31            63            25              5
  32            65            18          4.243
  33            67            12          3.464
  34            69            23          4.796
  35            71            23          4.796
  36            73            20          4.472
  37            75            21          4.583
  38            77            17          4.123
  39            79            26          5.099
  40            81            15          3.873
  41            83            21          4.583
  42            85            28          5.292
  43            87            17          4.123
  44            89            19          4.359
  45            91            22           4.69
  46            93            18          4.243
  47            95            26          5.099
  48            97            20          4.472
  49            99            21          4.583
