# Title: 100,000 Entries
# Axes 
# X: X
# Y: Y
# Entries: 100000  Under/Over: 0/0
# mean =        78.43    std_dev =         13.5
# bin            X             Y             EY
   0          60.6          4752          68.93
   1          61.8          4445          66.67
   2            63          4413          66.43
   3          64.2          4204          64.84
   4          65.4          4047          63.62
   5          66.6          3883          62.31
   6          67.8          3803          61.67
   7            69          3608          60.07
   8          70.2          3466          58.87
   9          71.4          3506          59.21
  10          72.6          3255          57.05
  11          73.8          3150          56.12
  12            75          2980          54.59
  13          76.2          3010          54.86
  14          77.4          2779          52.72
  15          78.6          2597          50.96
  16          79.8          2518          50.18
  17            81          2416          49.15
  18          82.2          2293          47.89
  19          83.4          2220          47.12
  20          84.6          2185          46.74
  21          85.8          2072          45.52
  22            87          1954           44.2
  23          88.2          2060          45.39
  24          89.4          2166          46.54
  25          90.6          2563          50.63
  26          91.8          2599          50.98
  27            93          2017          44.91
  28          94.2          1587          39.84
  29          95.4          1438          37.92
  30          96.6          1268          35.61
  31          97.8          1214          34.84
  32            99          1195          34.57
  33         100.2          1047          32.36
  34         101.4           922          30.36
  35         102.6           898          29.97
  36         103.8           825          28.72
  37           105           727          26.96
  38         106.2           649          25.48
  39         107.4           531          23.04
  40         108.6           541          23.26
  41         109.8           460          21.45
  42           111           415          20.37
  43         112.2           349          18.68
  44         113.4           282          16.79
  45         114.6           241          15.52
  46         115.8           225             15
  47           117           131          11.45
  48         118.2            68          8.246
  49         119.4            26          5.099
