# Title: 1,000 Entries
# Axes 
# X: X
# Y: Y
# Entries: 999  Under/Over: 0/0
# mean =        78.58    std_dev =        13.84
# bin            X             Y             EY
   0          60.6            56          7.483
   1          61.8            39          6.245
   2            63            36              6
   3          64.2            37          6.083
   4          65.4            44          6.633
   5          66.6            43          6.557
   6          67.8            38          6.164
   7            69            39          6.245
   8          70.2            40          6.325
   9          71.4            43          6.557
  10          72.6            32          5.657
  11          73.8            21          4.583
  12            75            20          4.472
  13          76.2            36              6
  14          77.4            28          5.292
  15          78.6            35          5.916
  16          79.8            19          4.359
  17            81            24          4.899
  18          82.2            20          4.472
  19          83.4            23          4.796
  20          84.6            22           4.69
  21          85.8            12          3.464
  22            87            23          4.796
  23          88.2            29          5.385
  24          89.4            14          3.742
  25          90.6            30          5.477
  26          91.8            22           4.69
  27            93            13          3.606
  28          94.2            19          4.359
  29          95.4            13          3.606
  30          96.6            12          3.464
  31          97.8            13          3.606
  32            99             9              3
  33         100.2             7          2.646
  34         101.4            13          3.606
  35         102.6            11          3.317
  36         103.8             5          2.236
  37           105            13          3.606
  38         106.2             5          2.236
  39         107.4            10          3.162
  40         108.6             5          2.236
  41         109.8             3          1.732
  42           111             5          2.236
  43         112.2             4              2
  44         113.4             3          1.732
  45         114.6             6          2.449
  47           117             5          2.236
